id,name,price,stand_numbers,image_url,included_items,retail_value,distributor,price_numeric,retail_value_numeric
217dd2a7-fb42-46db-98e0-fceedec81e6c,Fyna Licorice Bag,$15,"Stand Numbers: 1,14","https://www.eastershow.com.au/contentassets/9db4f640337b4dd5b37bbf5b2ab212d8/fyna-licorice-no-1.jpg/ShowBagImage-26595097-300-300-75-0,0","['1x 200g Milk Chocolate Bites $3.50', '1x 230g White Chocolate Raspberry  Bullets $3.50', '1x 250g Licorice Fruit Bites $3.50', '1x 250g Licorice Chunks $3.50', '1x 120g - 1 metre Long Licorice Strap $2.00']",Total Retail Value: $16.00,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",15.0,16.0
a58c3b5b-9869-4930-8fbe-cf59ed6846b2,Cadbury Dairy Milk Showbag,$6.00,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/8b7f5b9920174e53b89acaa85eaaf782/cadbury-dairy-milk.jpg/ShowBagImage-32381073-300-300-75-0,0","['12x 12g Bite Size Dairy Milk  $0.58', '1x 15g Bite Size Crunchie $0.58', '1x 15gm Bite Size Cherry Ripe $0.58', '1x 15g Bite Size Twirl $0.58', 'SHOW SPECIAL - PURCHASE ANY 4 BAGS FOR $20.00 (FROM THE $6 CADBURY RANGE)']",Total Retail Value: $8.70,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",6.0,8.7
c2ee5ae9-c109-44e0-b6e9-846306c6f278,Cadbury Freddo Showbag,$6.00,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/d00692e594a544d7bd31357cad2fc347/freddo.jpg/ShowBagImage-32708142-300-300-75-0,0","['5x 12g Dairy Milk Freddo $0.70', '1x 12g Milky Top Freddo $0.70', '1x 15g Caramello Koala\xa0 $0.70', '4x 12g Bite Size Dairy Milk $0.58', 'SHOW SPECIAL - PURCHASE ANY 4 BAGS FOR $20.00 (FROM THE $6 CADBURY RANGE)']",Total Retail Value: $7.22,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",6.0,7.22
adc68bf8-a7d7-4ecb-9dc6-aab0186e6577,Cadbury Twirl Showbag,$10.00,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/85ef0104e73249c69af8f96466cf6734/twirl.jpg/ShowBagImage-32203833-300-300-75-0,0","['8x 14g Bite Size Twirl $0.58', '6x 12g Bite Size Dairy Milk $0.58', '1x 140g Twirl Bites $6.00']",Total Retail Value: $14.12,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",10.0,14.12
6011c150-1ba9-4c13-bcfc-7997a876af5e,Bag of Bubbles,$15.00,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/f3e168f46acd4a0a920b9f4e44daf1d3/bag-of-bubbles.jpg/ShowBagImage-32468870-300-300-75-0,0","['1x Choice of Big Eye Fish, Dinosaur or Unicorn Bubble Gun $12.00', '1x 500ml Bubble Solution $5.95', '1x Bubble Making Set $3.95', '1x Trumpet Bubble Set $3.95', '1x Bubble Microphone $4.95']",Total Retail Value: $30.80,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",15.0,30.8
7fee9e8f-815e-43da-8984-e75e802890e1,Ghost Drops,$10.00,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/1a2d38b9473141e8826342bffe1e8858/ghost-drops.jpg/ShowBagImage-120482-300-300-75-0,0","['1x Cosmic Ghost Drops 120g (average 30 Ghost Drops) $4.80', '1x 10x80ml Ghost Drops Sour Ice Pops $5.95', '1x Madness Sour Popping Candy $0.60', '1x Dip N Roll $1.20', '1x Super Sour Six Powders and Stick  $1.00', '1x Snappy Wrist Band $2.50', '1x Finger Dip $1.50', '1x Karate Roller $1.00']",Total Retail Value: $18.55,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",10.0,18.55
c3adb0c0-9f7c-4d9d-b9e2-f2ac830ecf63,Full o Fizz,$10.00,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/37252e78498644b48e96b2e6460a0545/full-o-fizz.jpg/ShowBagImage-120474-300-300-75-0,0","['8x Wizz Fizz Original Flavour $0.75', '1x Dino Pop $1.50', '1x Super Sour Powder and Stick $1.50', '1x Sour Skull Squeezie $1.20', '1x Dip N Roll $1.20', '1x Sticky Hand $2.95', '1x Madness Sour Popping Candy $2.00', '1x Rainbow Karate Roller $0.60']",Total Retail Value: $16.95,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",10.0,16.95
3439ae26-196f-4e19-8a98-d733562aeb39,Sourblast,$25.00,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/0a309f14c90a4884a322e605a66b3e70/sourblast.jpg/ShowBagImage-120668-300-300-75-0,0","['1x Zappo Sour Tutti Frutti Chews 26g $1.00', '2x Zappo Sour  Raspberry Chews 26g $1.00', '1x Zappo Sour  Cola Chews 26g $1.00', '1x Zappo Millions 75g $1.80', '1x Scary Skull Spray $2.20', '1x TNT Mega Sour Popping Dip Triple Pack $2.50', '1x XXL Sour Spray $3.00', '1x Strawberry Thunder Clouds 180g $4.95', '1x Karate Roller $0.80', '1x 120g Sour Ghost Drops $5.50', '1x Wham Sour Tongue Painter 10 Pack $1.50', '1x Triple Dipper $1.20', '1x Madness Sour Popping Candy $0.80', '1x TNT Slurp $1.50', '1x Super Sour Powder and Stick $1.50', '1x Zour Bombs Super Sour Drops 10 Pack $1.50', '1x Dip N Roll $1.25', '1x Super Fan Candy $1.20']",Total Retail Value: $35.20,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",25.0,35.2
27865ee9-c4ec-4ccb-acd0-915c00a0f8ef,Minnie Mouse Bag,$35,"Stand Numbers: 1,2,14","https://www.eastershow.com.au/contentassets/a6a37a8d4d334bdb8859f93007bc1b3d/minnies-boutique.jpg/ShowBagImage-32162837-300-300-75-0,0","['1x Minnie Mouse Carry Bag $5.95', '1x Minnie Mouse Vinyl Backpack $15.95', '2x Minnie Mouse Lip Gloss $1.95', '1x Minnie Mouse PomPom Bag Tag $2.49', '1x Minnie Mouse Charm Bracelet $12.95', '1x Minnie Mouse Plush Slippers (size 30-31) $15.95', '1x Minnie  Mouse Hair Band $5.95']",Total Retail Value: $63.14,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",35.0,63.14
168a94dc-f13e-4b5f-9cba-506f74c0a964,S.W.A.T. Jnr Bag,$30,"Stand Numbers: 1,2,14","https://www.eastershow.com.au/contentassets/56a1c2e56dcc45ba8ef1fa06f893e73f/special-forces.jpg/ShowBagImage-32162840-300-300-75-0,0","['1x SWAT Helmet With Fake Camera $6.95', '1x SWAT Machine Gun With Sound $9.95', '1x SWAT Vest $9.95', '1x  Police Baton $2.95', '1x Hand Cuffs $1.95', '1x Walkie Talkie $1.95', '1x Torch $3.95', '1x Badge $1.95']",Total Retail Value: $39.60,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",30.0,39.6
