id,name,price,stand_numbers,image_url,included_items,retail_value,distributor,price_numeric,retail_value_numeric,img_description
217dd2a7-fb42-46db-98e0-fceedec81e6c,Fyna Licorice Bag,$15,"Stand Numbers: 1,14","https://www.eastershow.com.au/contentassets/9db4f640337b4dd5b37bbf5b2ab212d8/fyna-licorice-no-1.jpg/ShowBagImage-26595097-300-300-75-0,0","['1x 200g Milk Chocolate Bites $3.50', '1x 230g White Chocolate Raspberry  Bullets $3.50', '1x 250g Licorice Fruit Bites $3.50', '1x 250g Licorice Chunks $3.50', '1x 120g - 1 metre Long Licorice Strap $2.00']",Total Retail Value: $16.00,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",15.0,16.0,"The showbag in the image is labeled ""Liquorice Love"" by Fyna's Superior Liquorice Co., suggesting that it primarily contains a variety of liquorice sweets. Typically, such a showbag would feature an assortment of hard liquorice, soft liquorice allsorts, and perhaps some unique liquorice flavors or shapes. Given the brand ""Fyna,"" customers can expect high-quality, traditional liquorice products. The entertainment and branding usually appeal to those with a sweet tooth, particularly lovers of liquorice candy. This sort of showbag would be a hit at confectionery events, fairs, and candy shops. It’s perfect for any age group, from children who enjoy unique candy mixes to adults who reminisce about their favorite sweets from childhood. Additionally, the mention of ""No Artificial Colours or Flavours"" would likely appeal to health-conscious individuals seeking more natural candy options."
a58c3b5b-9869-4930-8fbe-cf59ed6846b2,Cadbury Dairy Milk Showbag,$6.00,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/8b7f5b9920174e53b89acaa85eaaf782/cadbury-dairy-milk.jpg/ShowBagImage-32381073-300-300-75-0,0","['12x 12g Bite Size Dairy Milk  $0.58', '1x 15g Bite Size Crunchie $0.58', '1x 15gm Bite Size Cherry Ripe $0.58', '1x 15g Bite Size Twirl $0.58', 'SHOW SPECIAL - PURCHASE ANY 4 BAGS FOR $20.00 (FROM THE $6 CADBURY RANGE)']",Total Retail Value: $8.70,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",6.0,8.7,"The image depicts a showbag offering from Cadbury, focused on dairy milk chocolates. This particular bundle, priced at $20 for 4, prominently features various bars of Cadbury Dairy Milk chocolate, including the original flavor, Fun Size portions, Cherry Ripe, and Wira. The showbag is ideal for those who love indulging in rich, creamy chocolate treats, offering a variety of popular Cadbury flavors that cater to a wide audience. Such showbags are typically appealing to chocolate enthusiasts, families looking for a fun and affordable treat, or individuals who enjoy gifting premium chocolate selections during special occasions and holidays. The purple and gold color scheme, along with recognizable Cadbury branding, enhances its visual appeal, making it an attractive choice for anyone with a sweet tooth."
c2ee5ae9-c109-44e0-b6e9-846306c6f278,Cadbury Freddo Showbag,$6.00,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/d00692e594a544d7bd31357cad2fc347/freddo.jpg/ShowBagImage-32708142-300-300-75-0,0","['5x 12g Dairy Milk Freddo $0.70', '1x 12g Milky Top Freddo $0.70', '1x 15g Caramello Koala\xa0 $0.70', '4x 12g Bite Size Dairy Milk $0.58', 'SHOW SPECIAL - PURCHASE ANY 4 BAGS FOR $20.00 (FROM THE $6 CADBURY RANGE)']",Total Retail Value: $7.22,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",6.0,7.22,"The image showcases a Cadbury Dairy Milk Freddo showbag, specifically promoted with an offer of ""4 for $20."" The primary feature of this showbag is the inclusion of individual Freddo milk chocolate bars, a popular brand known for its association with colorful, adorable animatronic frog characters. The packaging is vibrant and playful, likely also including treats or collectables involving these popular mascot characters. This showbag would appeal mostly to children due to its appealing blend of well-known, fun characters and chocolaty treats. It would be a perfect grab for young fans who enjoy Cadbury chocolates and are drawn to popular characters, making it a popular choice for parties, school events, or as a fun treat."
adc68bf8-a7d7-4ecb-9dc6-aab0186e6577,Cadbury Twirl Showbag,$10.00,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/85ef0104e73249c69af8f96466cf6734/twirl.jpg/ShowBagImage-32203833-300-300-75-0,0","['8x 14g Bite Size Twirl $0.58', '6x 12g Bite Size Dairy Milk $0.58', '1x 140g Twirl Bites $6.00']",Total Retail Value: $14.12,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",10.0,14.12,"The image depicts a Cadbury Twirl showbag, a popular choice for confectionery enthusiasts, especially around festivals and events. The showbag is predominantly filled with a variety of Cadbury chocolates, including a generous assortment of Twirl chocolate bars featuring the brand’s signature smooth and crunchy texture. Additionally, it likely contains several other Cadbury products, given the company's reputation for high-quality confections. The primary audience for such a showbag would be chocolate lovers, young and old, who enjoy indulging in a mix of sweet treats. The visually appealing branding and the prestige of Cadbury make it particularly attractive to families and individuals who appreciate premium chocolate experiences. 

The combination of familiar and beloved flavors makes this showbag a hit among those who enjoy sharing or gifting sweets, and it adds a delightful touch to celebrations or as a special treat at home. The brand's legacy of quality ensures that each piece is thoroughly enjoyed, making it an ideal choice for anyone with a sweet tooth."
6011c150-1ba9-4c13-bcfc-7997a876af5e,Bag of Bubbles,$15.00,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/f3e168f46acd4a0a920b9f4e44daf1d3/bag-of-bubbles.jpg/ShowBagImage-32468870-300-300-75-0,0","['1x Choice of Big Eye Fish, Dinosaur or Unicorn Bubble Gun $12.00', '1x 500ml Bubble Solution $5.95', '1x Bubble Making Set $3.95', '1x Trumpet Bubble Set $3.95', '1x Bubble Microphone $4.95']",Total Retail Value: $30.80,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",15.0,30.8,"The image displays a selection of ""Your Choice of Bubble Gun"" showbags, which are themed around various animated characters and colorful designs. Each showbag contains a bubble gun, bottles of bubble solution, and a container of confetti. The prominent characters and themes include Doodles, a Sesame Street-themed option, and a one-eyed alien which appears like a character from a Pixar movie. This type of showbag would likely appeal to children, particularly those who enjoy playtime with interactive toys and vibrant characters. The animated characters and fun bubble elements make these showbags ideal for kids aged between 3 and 8, possibly for birthday parties, theme park visits, or fairs, where playful and engaging items are popular."
7fee9e8f-815e-43da-8984-e75e802890e1,Ghost Drops,$10.00,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/1a2d38b9473141e8826342bffe1e8858/ghost-drops.jpg/ShowBagImage-120482-300-300-75-0,0","['1x Cosmic Ghost Drops 120g (average 30 Ghost Drops) $4.80', '1x 10x80ml Ghost Drops Sour Ice Pops $5.95', '1x Madness Sour Popping Candy $0.60', '1x Dip N Roll $1.20', '1x Super Sour Six Powders and Stick  $1.00', '1x Snappy Wrist Band $2.50', '1x Finger Dip $1.50', '1x Karate Roller $1.00']",Total Retail Value: $18.55,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",10.0,18.55,"The image depicts a ""Cosmic Ghostbusters"" showbag, which is likely to be appealing to children and fans of cartoons, particularly those who enjoy the vibrant and humorous characters from the series. This themed showbag might contain variousitems such as stickers featuring the Ghostbusters characters, small figurines, temporary tattoos, trading cards, and sugary treats or candy. Brands involved could include popular confectionery companies and small toy manufacturers that produce character-based merchandise. A person who would be particularly drawn to this showbag is probably a young fan of animated television shows, ghostly or supernatural themes, and cartoon adventures, as well as collectors of themed merchandise and stickers."
c3adb0c0-9f7c-4d9d-b9e2-f2ac830ecf63,Full o Fizz,$10.00,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/37252e78498644b48e96b2e6460a0545/full-o-fizz.jpg/ShowBagImage-120474-300-300-75-0,0","['8x Wizz Fizz Original Flavour $0.75', '1x Dino Pop $1.50', '1x Super Sour Powder and Stick $1.50', '1x Sour Skull Squeezie $1.20', '1x Dip N Roll $1.20', '1x Sticky Hand $2.95', '1x Madness Sour Popping Candy $2.00', '1x Rainbow Karate Roller $0.60']",Total Retail Value: $16.95,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",10.0,16.95,"The image shows a showbag titled ""Full o' Fizz,"" which suggests it is likely filled with a variety of lollies, candies, and sugar-filled treats that are both colorful and appealing to kids. The vibrant and whimsical artwork on the bag, featuring mischievous and comical monster characters, hints at a theme centered around fun and playful goodness. Such showbags typically contain popular confectionery brands like Mentos, Chewits, or Jelly Beans along with some funny or quirky novelty items. This type of showbag would predominantly appeal to young children and pre-teens who enjoy sweets and are drawn to bold, exaggerated cartoon characters. Additionally, it might attract parents looking for an affordable and fun treat for their kids to enjoy at festivals or carnivals."
3439ae26-196f-4e19-8a98-d733562aeb39,Sourblast,$25.00,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/0a309f14c90a4884a322e605a66b3e70/sourblast.jpg/ShowBagImage-120668-300-300-75-0,0","['1x Zappo Sour Tutti Frutti Chews 26g $1.00', '2x Zappo Sour  Raspberry Chews 26g $1.00', '1x Zappo Sour  Cola Chews 26g $1.00', '1x Zappo Millions 75g $1.80', '1x Scary Skull Spray $2.20', '1x TNT Mega Sour Popping Dip Triple Pack $2.50', '1x XXL Sour Spray $3.00', '1x Strawberry Thunder Clouds 180g $4.95', '1x Karate Roller $0.80', '1x 120g Sour Ghost Drops $5.50', '1x Wham Sour Tongue Painter 10 Pack $1.50', '1x Triple Dipper $1.20', '1x Madness Sour Popping Candy $0.80', '1x TNT Slurp $1.50', '1x Super Sour Powder and Stick $1.50', '1x Zour Bombs Super Sour Drops 10 Pack $1.50', '1x Dip N Roll $1.25', '1x Super Fan Candy $1.20']",Total Retail Value: $35.20,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",25.0,35.2,"The showbag labeled ""Sourblast"" features high-energy, colorful packaging that suggests a focus on tangy, possibly candy-filled treats. Inside such a showbag, you might find an assortment of sour candies, gum, and possibly a small toy or novelty item themed around sour or tangy sensations. Known brands like ""Warheads"" or ""Sour Patch Kids"" are likely to be included, popular for their sour-out-the-orifice candy appeal. Some showbags may also incorporate character merchandise or stickers centered around a sour-tasting theme. This showbag would primarily appeal to young children, particularly those who enjoy sweet and sour flavors and are fans of vibrant, dynamic packaging. It's perfect for families visiting fairs or events where showbags are commonly purchased to entertain and delight kids."
27865ee9-c4ec-4ccb-acd0-915c00a0f8ef,Minnie Mouse Bag,$35,"Stand Numbers: 1,2,14","https://www.eastershow.com.au/contentassets/a6a37a8d4d334bdb8859f93007bc1b3d/minnies-boutique.jpg/ShowBagImage-32162837-300-300-75-0,0","['1x Minnie Mouse Carry Bag $5.95', '1x Minnie Mouse Vinyl Backpack $15.95', '2x Minnie Mouse Lip Gloss $1.95', '1x Minnie Mouse PomPom Bag Tag $2.49', '1x Minnie Mouse Charm Bracelet $12.95', '1x Minnie Mouse Plush Slippers (size 30-31) $15.95', '1x Minnie  Mouse Hair Band $5.95']",Total Retail Value: $63.14,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",35.0,63.14,"The image showcases a Minnie Mouse-themed showbag, which is a compilation of items centered around the iconic Disney character Minnie Mouse. The contents include a range of accessories such as Minnie Mouse pajamas, headwear featuring Minnie's signature polka dot design and bow, nail stickers, a lip balm, and a cute little minaulder with the recognizable Minnie silhouette and a tiny bow. These items come in vibrant and enchanting shades of pink, symbolizing Minnie's signature fashion style.

The products in this showbag are trademarked by Disney, ensuring high quality and branding consistency, making it appealing to fans of the Disney franchise, especially those who admire Minnie Mouse. This type of showbag is likely to be most attractive to young girls, preteens, and those who enjoy dressing up and collecting themed merchandise. Additionally, it could appeal to collectors of Disney memorabilia or individuals who appreciate the nostalgic and whimsical charm of classic Disney characters. The items are playful yet practical, offering both fun and utility."
168a94dc-f13e-4b5f-9cba-506f74c0a964,S.W.A.T. Jnr Bag,$30,"Stand Numbers: 1,2,14","https://www.eastershow.com.au/contentassets/56a1c2e56dcc45ba8ef1fa06f893e73f/special-forces.jpg/ShowBagImage-32162840-300-300-75-0,0","['1x SWAT Helmet With Fake Camera $6.95', '1x SWAT Machine Gun With Sound $9.95', '1x SWAT Vest $9.95', '1x  Police Baton $2.95', '1x Hand Cuffs $1.95', '1x Walkie Talkie $1.95', '1x Torch $3.95', '1x Badge $1.95']",Total Retail Value: $39.60,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",30.0,39.6,"The image displays a SWAT-themed showbag designed for individuals who are enthusiastic about tactical gear and action-oriented play. The bag includes a black soft-body tactical vest with ""S.W.A.T."" emblazoned on the front and various insignia or compartments, suggesting utility and a sense of adventure. A black helmet, complete with a GoPro camera attached to the front, is a highlight indicating an interest in high-action footage or role-play. Additionally, there is an imitation assault rifle featuring red highlights, adding to the immersive SWAT experience. This showbag would appeal to fans of military-style action games, young enthusiasts of tactical operations, or anyone who enjoys participating in tactical simulation or airsoft activities."
